Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R223,Huliyappa's Donne Biryani,Biryani,250,"RT Nagar, Bangalore",4.0,13.0268243579,77.5907941908,1025.0,https://www.zomato.com/bangalore/huliyappas-donne-biryani-rt-nagar/order
R223,Huliyappa's Donne Biryani,South Indian,250,"RT Nagar, Bangalore",4.0,13.0268243579,77.5907941908,1025.0,https://www.zomato.com/bangalore/huliyappas-donne-biryani-rt-nagar/order
R224,Sri Srinivas Pork Hotel,Fast Food,250,"Ejipura, Bangalore",3.4,12.9486769506,77.6274512708,2668.0,https://www.zomato.com/bangalore/sri-srinivas-pork-hotel-ejipura-bangalore/order
R225,Sri Durga Chats & Juice,Fast Food,250,"Vijay Nagar, Bangalore",4.2,12.9724841574,77.5388451666,14000.0,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order
R225,Sri Durga Chats & Juice,Street Food,250,"Vijay Nagar, Bangalore",4.2,12.9724841574,77.5388451666,14000.0,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order
R225,Sri Durga Chats & Juice,Beverages,250,"Vijay Nagar, Bangalore",4.2,12.9724841574,77.5388451666,14000.0,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order
R225,Sri Durga Chats & Juice,Desserts,250,"Vijay Nagar, Bangalore",4.2,12.9724841574,77.5388451666,14000.0,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order
R226,Shawarma Time,Lebanese,100,"RT Nagar, Bangalore",3.7,13.0075115414,77.5944483653,3354.0,https://www.zomato.com/bangalore/shawarma-time-1-rt-nagar-bangalore/order
R226,Shawarma Time,Rolls,100,"RT Nagar, Bangalore",3.7,13.0075115414,77.5944483653,3354.0,https://www.zomato.com/bangalore/shawarma-time-1-rt-nagar-bangalore/order
R226,Shawarma Time,Fast Food,100,"RT Nagar, Bangalore",3.7,13.0075115414,77.5944483653,3354.0,https://www.zomato.com/bangalore/shawarma-time-1-rt-nagar-bangalore/order
R227,Biryani Blues,Biryani,100,"Church Street, Bangalore",4.2,12.974674,77.605851,786.0,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
R227,Biryani Blues,Kebab,100,"Church Street, Bangalore",4.2,12.974674,77.605851,786.0,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
R227,Biryani Blues,Desserts,100,"Church Street, Bangalore",4.2,12.974674,77.605851,786.0,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
R227,Biryani Blues,Hyderabadi,100,"Church Street, Bangalore",4.2,12.974674,77.605851,786.0,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
R227,Biryani Blues,Beverages,100,"Church Street, Bangalore",4.2,12.974674,77.605851,786.0,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
R228,TrueCakes,Bakery,100,"Domlur, Bangalore",4.3,12.956318,77.637447,109.0,https://www.zomato.com/bangalore/truecakes-domlur-bangalore/order
R228,TrueCakes,Desserts,100,"Domlur, Bangalore",4.3,12.956318,77.637447,109.0,https://www.zomato.com/bangalore/truecakes-domlur-bangalore/order
R229,Hotel Karavali Food Point,Mangalorean,100,"Vijay Nagar, Bangalore",3.7,12.9729712952,77.5399083272,20700.0,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
R229,Hotel Karavali Food Point,South Indian,100,"Vijay Nagar, Bangalore",3.7,12.9729712952,77.5399083272,20700.0,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
R229,Hotel Karavali Food Point,North Indian,100,"Vijay Nagar, Bangalore",3.7,12.9729712952,77.5399083272,20700.0,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
R229,Hotel Karavali Food Point,Chinese,100,"Vijay Nagar, Bangalore",3.7,12.9729712952,77.5399083272,20700.0,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
R230,Sree Banashankari Donne Biriyani,Biryani,100,"Basaveshwara Nagar, Bangalore",4.1,12.9887401933,77.5455701351,24700.0,https://www.zomato.com/bangalore/sree-banashankari-donne-biriyani-basaveshwara-nagar-bangalore/order
R230,Sree Banashankari Donne Biriyani,South Indian,100,"Basaveshwara Nagar, Bangalore",4.1,12.9887401933,77.5455701351,24700.0,https://www.zomato.com/bangalore/sree-banashankari-donne-biriyani-basaveshwara-nagar-bangalore/order
R231,Uttam Sagar,South Indian,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,North Indian,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,Street Food,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,Chinese,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,Fast Food,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,Beverages,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
R231,Uttam Sagar,Desserts,100,"Banaswadi, Bangalore",4.0,13.0094193051,77.6434087381,16900.0,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
