Restaurant_Name,Latitude,Longitude,Location,Delivery_review_number
FreshMenu,12.9644230000,77.6058900000,"Richmond Road, Bangalore",19.2K
EasyBites by Empire,12.9672850203,77.6089621335,"Brigade Road, Bangalore",724
Amma's Pastries,12.9882981707,77.6175733656,"Ulsoor, Bangalore",555
WOW! Momo,12.9751410000,77.6039710000,"Church Street, Bangalore",54
Taco Bell,12.9702176959,77.6101322472,"Garuda Mall, Magrath Road, Bangalore","1,732"
MOJO Pizza - 2X Toppings,12.9611680000,77.5982390000,"Shanti Nagar, Bangalore",391
Wendy's Burgers,12.9618838537,77.5943370536,"Shanti Nagar, Bangalore",654
WarmOven Cake & Desserts,12.9922178674,77.5942528993,"Vasanth Nagar, Bangalore",841
Ovenstory Pizza,12.9618446457,77.5943548232,"Shanti Nagar, Bangalore","1,122"
EatFit,12.9862830000,77.5948390000,"Cunningham Road, Bangalore","2,104"
Big Bite,12.9674849766,77.5358337164,"Vijay Nagar, Bangalore",17.7K
Subway,12.9718094813,77.5961988419,"UB City, Bangalore","1,212"
Faasos - Wraps & Rolls,12.9618965963,77.5943585113,"Shanti Nagar, Bangalore",868
Anand Sweets And Savouries,12.9816445417,77.6098227873,"Commercial Street, Bangalore","2,268"
Imperio Restaurant,12.9348756099,77.6134129241,"Koramangala 7th Block, Bangalore","5,084"
Mani's Dum Biryani,12.9773633341,77.6192919910,"Ulsoor, Bangalore","5,019"
Nandhini Deluxe,12.9717748490,77.6009134948,"St. Marks Road, Bangalore","2,867"
Sharief Bhai,12.9968192994,77.6140439138,"Frazer Town, Bangalore","8,149"
NIC Ice Creams,12.9993824740,77.6119910181,"Frazer Town, Bangalore","2,121"
Samosa Party,12.9697638784,77.6090308651,"Brigade Road, Bangalore","1,027"
Kannur Food Point,12.9313376619,77.6081336662,"BTM, Bangalore",51.4K
Imperial Restaurant,12.9713429246,77.6057850569,"Residency Road, Bangalore","6,018"
Sri Udupi Food Hub,12.9781372357,77.5797770712,"Majestic, Bangalore",520
Lassi Shop,12.9673820000,77.5999290000,"Residency Road, Bangalore",45
Chickpet Donne Biryani House,12.9324427000,77.5836758000,"Jayanagar, Bangalore",295
Pizza@99,12.9885796000,77.5482140000,"Rajajinagar, Bangalore",324
Bakingo,12.9944153000,77.5938201000,"Vasanth Nagar, Bangalore",755
Chai Point,12.9745869133,77.6066111773,"Church Street, Bangalore","1,772"
Kannur Food Kitchen,12.9238006000,77.6112650000,"BTM, Bangalore",20.5K
Rolls On Wheels,12.9854346426,77.5966199487,"Cunningham Road, Bangalore","1,299"
Beijing Bites,12.9654981492,77.6013547182,"Richmond Road, Bangalore","4,150"
Kwalitywall's Frozen Dessert And Ice Cream Shop,12.9508243453,77.5955725461,"Wilson Garden, Bangalore",378
Natural Ice Cream,12.9714556432,77.6008504629,"St. Marks Road, Bangalore","1,163"
California Burrito,12.9879597110,77.5945398957,"Sigma Mall, Cunningham Road, Bangalore","3,942"
Falahaar & Kota Kachori,12.9345831000,77.6125063000,"Koramangala 7th Block, Bangalore",80.8K
Behrouz Biryani,12.9619021507,77.5943226367,"Shanti Nagar, Bangalore",502
Meat And Eat,12.9613645634,77.6373611037,"Domlur, Bangalore","2,433"
Paakashala,12.9749423805,77.6079747453,"MG Road, Bangalore","1,495"
The Belgian Waffle Co.,12.9889339251,77.5778240338,"Seshadripuram, Bangalore",716
Asha Sweet Center,12.9945560000,77.5936044000,"Vasanth Nagar, Bangalore",13
Andhra Gunpowder,12.9868100000,77.5793840000,"Seshadripuram, Bangalore",567
Ambur Star Briyani Since 1890,12.9773724820,77.6364779100,"Indiranagar, Bangalore","7,002"
Kolkata Kathi Rolls,12.9139282142,77.5860081241,"JP Nagar, Bangalore",13.4K
Royal Restaurant,12.9857280210,77.6052543148,"Shivajinagar, Bangalore",25.4K
Chinese Wok,12.9917700000,77.5712000000,"Malleshwaram, Bangalore",415
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",12.9728960000,77.6072990000,"Brigade Road, Bangalore",837
Glen's Bakehouse,12.9698292229,77.5974812731,"Lavelle Road, Bangalore","5,379"
Theobroma,12.9711914742,77.5976927423,"Lavelle Road, Bangalore","1,734"
Paradise Biryani,12.9849436087,77.5458470732,"Rajajinagar, Bangalore","4,373"
Sri Udupi Park,12.9730536283,77.6091609523,"Residency Road, Bangalore","7,961"
Krishna Vaibhava,12.9674036219,77.5357804075,"Vijay Nagar, Bangalore",21.2K
Dindigul Thalappakatti,12.9722538202,77.6187314093,"MG Road, Bangalore","2,560"
RNR Biryani - Taste Of 1953,12.9286620288,77.5825065002,"Jayanagar, Bangalore","1,917"
Call Me Chow,12.9440497946,77.6173359901,"Koramangala 8th Block, Bangalore",11.4K
Krispy Kreme,12.9669276000,77.6115022000,"Richmond Road, Bangalore",950
Baskin Robbins,12.9752155149,77.6039242744,"Church Street, Bangalore",400
Royal Biryani Kitchen,12.9240083000,77.6126000000,"BTM, Bangalore",33.3K
Pathaan Sir,12.9450334000,77.5907592000,"Wilson Garden, Bangalore",27
Chaatimes,13.0004807585,77.6153977146,"Frazer Town, Bangalore",475
Chicpet Donne Biriyani House,12.9363251509,77.6149431244,"Koramangala 7th Block, Bangalore","6,904"
