Name,Price_For_One,Cuisines,Rating,Urls
The Tasty Planet,₹100 for one,"Fast Food, Salad, Sandwich, Street Food, Beverages, Juices, Shake",4,https://www.zomato.com/bangalore/the-tasty-planet-richmond-road-bangalore/order
Burger Elite,₹100 for one,"Burger, Fast Food",4.2,https://www.zomato.com/bangalore/burger-elite-rajajinagar-bangalore/order
Priyadarshini Veg,₹100 for one,"North Indian, South Indian, Chinese, Street Food, Shake, Beverages",4.3,https://www.zomato.com/bangalore/priyadarshini-veg-yeshwantpur-bangalore/order
Sri Udupi Grand,₹100 for one,"South Indian, North Indian, Chinese, Beverages, Shake",3.6,https://www.zomato.com/bangalore/sri-udupi-grand-brigade-road-bangalore/order
IBC (Indian Biryani Company),₹100 for one,"Biryani, North Indian, Mughlai",3.7,https://www.zomato.com/bangalore/ibc-indian-biryani-company-koramangala-5th-block-bangalore/order
Chicken County Restaurant,₹100 for one,"North Indian, Chinese, Mughlai, Seafood, Fast Food, Biryani, Beverages",4.2,https://www.zomato.com/bangalore/chicken-county-restaurant-1-bannerghatta-road-bangalore/order
Maharaja Military Canteen,₹100 for one,South Indian,3.8,https://www.zomato.com/bangalore/maharaja-military-canteen-cunningham-road-bangalore/order
Udupi Aatithya,₹100 for one,"South Indian, North Indian, Chinese, Street Food, Fast Food, Beverages, Desserts",4.1,https://www.zomato.com/bangalore/udupi-aatithya-basavanagudi-bangalore/order
AB's - Absolute Barbecues,₹100 for one,"BBQ, North Indian, Continental, Oriental, Seafood, Fast Food, Desserts",3.5,https://www.zomato.com/bangalore/abs-absolute-barbecues-koramangala-5th-block-bangalore/order
Brew Cafe,₹100 for one,"Fast Food, Momos, Street Food, Ice Cream, Beverages",3.9,https://www.zomato.com/bangalore/brew-cafe-2-btm-bangalore/order
Nomad Pizza - Traveller Series,₹100 for one,"Pizza, Italian",4.1,https://www.zomato.com/bangalore/nomad-pizza-traveller-series-indiranagar-bangalore/order
Punjabi Unplugged,₹100 for one,"North Indian, Chinese, Kebab, Biryani, Mughlai",3.6,https://www.zomato.com/bangalore/punjabi-unplugged-koramangala-7th-block-bangalore/order
Louis Burger,₹350 for one,"Burger, Fast Food",4.1,https://www.zomato.com/bangalore/louis-burger-indiranagar-bangalore/order
Delhi Restaurant & Chaat,₹350 for one,"North Indian, Chinese, Sichuan",3.8,https://www.zomato.com/bangalore/delhi-restaurant-chaat-rt-nagar-bangalore/order
Halli Jonne Biriyani,₹350 for one,"Biryani, North Indian",4.3,https://www.zomato.com/bangalore/halli-jonne-biriyani-jayanagar/order
Cheesecake & Co.,₹350 for one,"Bakery, Desserts",4.3,https://www.zomato.com/bangalore/cheesecake-co-koramangala-8th-block-bangalore/order
Umpire Chicken County,₹350 for one,"Rolls, Chinese, North Indian, Biryani",3.5,https://www.zomato.com/bangalore/umpire-chicken-county-richmond-road-bangalore/order
Simplee Shawarma,₹350 for one,"Shawarma, Fast Food",4,https://www.zomato.com/bangalore/simplee-shawarma-btm-bangalore/order
The Ganache Factory,₹350 for one,"Bakery, Desserts",4.4,https://www.zomato.com/bangalore/the-ganache-factory-jayanagar-bangalore/order
Nammura Upachara,₹350 for one,"South Indian, North Indian, Street Food, Chinese",4.2,https://www.zomato.com/bangalore/nammura-upachara-basaveshwara-nagar/order
Dum Biryani Adda,₹350 for one,"Biryani, North Indian",4,https://www.zomato.com/bangalore/dum-biryani-adda-1-jeevan-bhima-nagar-bangalore/order
Pizza O' Clock,₹350 for one,"Pizza, Fast Food",3.9,https://www.zomato.com/bangalore/pizza-o-clock-1-btm-bangalore/order
Boss Burger,₹350 for one,"Burger, Fast Food, American, Finger Food, Desserts, Beverages, Continental",4,https://www.zomato.com/bangalore/boss-burger-lavelle-road-bangalore/order
Bansuri Sweets,₹350 for one,"Mithai, North Indian, Street Food, Sandwich, Chinese",3.9,https://www.zomato.com/bangalore/bansuri-sweets-vijay-nagar/order
Shanthi Sagar,₹100 for one,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake",3.7,https://www.zomato.com/bangalore/shanthi-sagar-jp-nagar/order
Taste Of Tibet,₹100 for one,"Chinese, Street Food, Momos, Sichuan",4.1,https://www.zomato.com/bangalore/taste-of-tibet-brigade-road/order
Tango Sandwich King,₹100 for one,"Sandwich, Fast Food, Street Food",4.2,https://www.zomato.com/bangalore/tango-sandwich-king-basaveshwara-nagar-bangalore/order
Bombay Kulfis,₹100 for one,"Ice Cream, Desserts",4,https://www.zomato.com/bangalore/bombay-kulfis-1-shanti-nagar-bangalore/order
Udupi Shanthi Sagar,₹100 for one,"North Indian, South Indian, Chinese, Street Food, Beverages",4.1,https://www.zomato.com/bangalore/udupi-shanthi-sagar-frazer-town-bangalore/order
L. J. Iyengar's Bakery,₹100 for one,"Bakery, Desserts",3.6,https://www.zomato.com/bangalore/l-j-iyengars-bakery-basavanagudi-bangalore/order
Motis Kitchen,₹100 for one,"South Indian, Kerala, Chinese, Seafood, Chettinad",4.2,https://www.zomato.com/bangalore/motis-kitchen-thippasandra/order
Chichaba's Taj,₹100 for one,"North Indian, Mughlai, Biryani, Kebab, Seafood, Beverages",4,https://www.zomato.com/bangalore/chichabas-taj-frazer-town/order
Twiststick House,₹100 for one,"Chinese, Fast Food, Beverages",3.9,https://www.zomato.com/bangalore/twiststick-house-basavanagudi-bangalore/order
Milano Ice Cream,₹100 for one,"Ice Cream, Desserts, Beverages, Shake",4.4,https://www.zomato.com/bangalore/milano-ice-cream-indiranagar/order
Kanti Bakes & Flakes,₹100 for one,"Bakery, Desserts, Mithai",4.3,https://www.zomato.com/bangalore/kanti-bakes-flakes-rt-nagar-bangalore/order
Amul Ice Cream Parlour,₹100 for one,"Ice Cream, Desserts, Beverages, Shake",4.5,https://www.zomato.com/bangalore/amul-ice-cream-parlour-btm-bangalore/order
Mangalore Kitchen,₹200 for one,"Street Food, Chinese",3.8,https://www.zomato.com/bangalore/mangalore-kitchen-1-jeevan-bhima-nagar-bangalore/order
Udupi Kitchen,₹200 for one,"South Indian, Chinese, Street Food, Desserts, Beverages, Shake, Sichuan",3.9,https://www.zomato.com/bangalore/udupi-kitchen-vijay-nagar/order
G 's Chinese Dragon,₹200 for one,"Chinese, Momos",3.4,https://www.zomato.com/bangalore/g-s-chinese-dragon-1-seshadripuram-bangalore/order
Dande's Hyderabad Biryani,₹200 for one,"Andhra, Biryani, North Indian, Chinese",3.6,https://www.zomato.com/bangalore/dandes-hyderabad-biryani-koramangala-7th-block-bangalore/order
Rang De Basanti Dhaba,₹200 for one,"North Indian, Seafood, Mughlai, Desserts",3.6,https://www.zomato.com/bangalore/rang-de-basanti-dhaba-domlur-bangalore/order
Bombay Kulfi,₹200 for one,"Ice Cream, Desserts",4.2,https://www.zomato.com/bangalore/bombay-kulfi-shanti-nagar-bangalore/order
Tibb's Frankie - Serving Rolls Since 1969,₹200 for one,Rolls,3.9,https://www.zomato.com/bangalore/tibbs-frankie-serving-rolls-since-1969-shivajinagar-bangalore/order
ITC Sunfeast Baked Creations,₹200 for one,"Bakery, Desserts, Fast Food",4.4,https://www.zomato.com/bangalore/itc-sunfeast-baked-creations-koramangala-7th-block-bangalore/order
Mangalore Lunch Home,₹200 for one,"Mangalorean, North Indian, Chinese, Biryani, South Indian",4,https://www.zomato.com/bangalore/mangalore-lunch-home-basaveshwara-nagar-bangalore/order
Donne Biriyani Mane,₹200 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/donne-biriyani-mane-1-indiranagar/order
Marwadi Chaat & Tiffin Services,₹200 for one,"North Indian, Street Food, Chinese, Beverages",3.7,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-shanti-nagar-bangalore/order
Lavonne,₹200 for one,"Cafe, Fast Food, Bakery, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/lavonne-st-marks-road-bangalore/order
Halli Mane Donne Biriyani,₹150 for one,"North Indian, Biryani, BBQ",4.1,https://www.zomato.com/bangalore/halli-mane-donne-biriyani-rajajinagar-bangalore/order
Big Bang Pizza,₹150 for one,"Pizza, Pasta, Burger, Fast Food, Beverages",3.9,https://www.zomato.com/bangalore/big-bang-pizza-3-frazer-town-bangalore/order
Andhra Biryanis,₹150 for one,"Biryani, Andhra, Chinese, North Indian, Mughlai",4.1,https://www.zomato.com/bangalore/andhra-biryanis-nagawara/order
Protein Chef,₹150 for one,"Sandwich, Rolls, North Indian",4.1,https://www.zomato.com/bangalore/protein-chef-indiranagar-bangalore/order
Simply Chats,₹150 for one,"Street Food, Sandwich, Ice Cream, Beverages",3.6,https://www.zomato.com/bangalore/simply-chats-basaveshwara-nagar-bangalore/order
Burger It Up,₹150 for one,"Burger, North Indian, Chinese, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/burger-it-up-vasanth-nagar-bangalore/order
Hungry Bird,₹150 for one,"Biryani, North Indian, Chinese, Rolls, Fast Food, Sichuan",3.9,https://www.zomato.com/bangalore/hungry-bird-btm-bangalore/order
Mallu Family Restaurant,₹150 for one,"Arabian, Biryani, Chinese, South Indian, Beverages, Shake",3.7,https://www.zomato.com/bangalore/mallu-family-restaurant-btm-bangalore/order
Puneri Katta,₹150 for one,"Maharashtrian, Street Food",4.2,https://www.zomato.com/bangalore/puneri-katta-btm-bangalore/order
Malugudi's Donne Biriyani,₹150 for one,"Biryani, South Indian",4.3,https://www.zomato.com/bangalore/malugudis-donne-biriyani-yeshwantpur-bangalore/order
Empire Juices and Desserts,₹150 for one,"Juices, Beverages, Shake, Ice Cream",3.2,https://www.zomato.com/bangalore/empire-juices-and-desserts-shivajinagar-bangalore/order
TKS Iyengars,₹150 for one,South Indian,4.2,https://www.zomato.com/bangalore/tks-iyengars-1-basaveshwara-nagar-bangalore/order
Al Zara Mandi Arabian Restaurant,₹350 for one,"Arabian, North Indian, Mughlai",4.1,https://www.zomato.com/bangalore/al-zara-mandi-arabian-restaurant-frazer-town-bangalore/order
C. K. Mega Hot Food,₹350 for one,"Chinese, Seafood, Sichuan",4,https://www.zomato.com/bangalore/c-k-mega-hot-food-btm/order
Kwality Walls Frozen Dessert And Ice Cream Shop,₹350 for one,"Ice Cream, Desserts",4.3,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-jayanagar-bangalore/order
Kabab Manor,₹350 for one,"North Indian, Biryani, Fast Food, Chinese, Beverages",4,https://www.zomato.com/bangalore/kabab-manor-rt-nagar/order
Orange Bake And Juice,₹350 for one,"Bakery, Desserts",4.1,https://www.zomato.com/bangalore/orange-bake-and-juice-btm-bangalore/order
Singh Da Punjabi Dhaba,₹350 for one,"North Indian, Biryani",3.6,https://www.zomato.com/bangalore/singh-da-punjabi-dhaba-koramangala-7th-block-bangalore/order
Kwality Wall’s Frozen Dessert and Ice Cream Shop,₹350 for one,"Ice Cream, Desserts",4.5,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-nagawara-bangalore/order
Eat N Drink,₹350 for one,"Fast Food, Sandwich, Burger, Wraps, Rolls, Shake, Juices, Beverages",4.1,https://www.zomato.com/bangalore/eat-n-drink-btm/order
Burger Seigneur,₹350 for one,"Cafe, Burger, Continental, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/burger-seigneur-st-marks-road-bangalore/order
SLAY Coffee,₹350 for one,"Desserts, Coffee, Beverages, Pancake, Vietnamese, Cafe, Rolls, Wraps",3.9,https://www.zomato.com/bangalore/slay-coffee-indiranagar-bangalore/order
Apna Dhaba,₹350 for one,"North Indian, Chinese, Biryani, Paan, Beverages",3.9,https://www.zomato.com/bangalore/apna-dhaba-basavanagudi-bangalore/order
Udupi Upachar,₹350 for one,"South Indian, North Indian, Chinese, Street Food, Sandwich, Shake, Beverages, Ice Cream",3.8,https://www.zomato.com/bangalore/udupi-upachar-banashankari-bangalore/order
Le Arabia,₹250 for one,"Arabian, North Indian, Chinese, Fast Food, Beverages, Desserts",3.4,https://www.zomato.com/bangalore/le-arabia-koramangala-5th-block-bangalore/order
Bangalikhana,₹250 for one,"Bengali, Seafood",4.1,https://www.zomato.com/bangalore/bangalikhana-koramangala-7th-block-bangalore/order
Sukh Sagar,₹250 for one,"Chinese, Street Food, Fast Food, Desserts, Beverages, Shake, Sichuan",3.9,https://www.zomato.com/bangalore/sukh-sagar-majestic/order
Swad Punjab Da,₹250 for one,North Indian,4.2,https://www.zomato.com/bangalore/swad-punjab-da-btm/order
Udupi Food Point,₹250 for one,"South Indian, Chinese",3.8,https://www.zomato.com/bangalore/udupi-food-point-banaswadi-bangalore/order
The Red Box,₹250 for one,"Chinese, Thai, Sichuan, Momos",3.7,https://www.zomato.com/bangalore/the-red-box-indiranagar-bangalore/order
New Udupi Upahar,₹250 for one,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",4,https://www.zomato.com/bangalore/new-udupi-upahar-1-jayanagar-bangalore/order
Nirula's,₹250 for one,"Ice Cream, Momos, Desserts, Shake",3.8,https://www.zomato.com/bangalore/nirulas-1-vasanth-nagar-bangalore/order
Casino Restaurant,₹250 for one,"North Indian, Chinese, Beverages",3.9,https://www.zomato.com/bangalore/casino-restaurant-new-bel-road-bangalore/order
KC Das,₹250 for one,"Mithai, Street Food, Mishti, Bengali",4.3,https://www.zomato.com/bangalore/kc-das-st-marks-road-bangalore/order
Limelight - Royal Orchid Hotel,₹250 for one,"Asian, Continental, North Indian, South Indian, Healthy Food, Beverages, Desserts",3.7,https://www.zomato.com/bangalore/limelight-royal-orchid-hotel-airport-road-bangalore/order
Kolkata Famous Kathi Roll,₹250 for one,Rolls,4.2,https://www.zomato.com/bangalore/kolkata-famous-kathi-roll-2-btm-bangalore/order
Dawat Durbar,₹150 for one,"Mughlai, North Indian",3.7,https://www.zomato.com/bangalore/dawat-durbar-shivajinagar-bangalore/order
Spicy Corner,₹150 for one,Chinese,4.1,https://www.zomato.com/bangalore/spicy-corner-jeevan-bhima-nagar/order
RS Shiv Sagar,₹150 for one,"North Indian, South Indian, Asian, Continental, Chinese, Beverages, Desserts",3.6,https://www.zomato.com/bangalore/rs-shiv-sagar-mg-road/order
Just Cakes,₹150 for one,"Bakery, Desserts",3.7,https://www.zomato.com/bangalore/just-cakes-1-btm-bangalore/order
Kekou,₹150 for one,"Chinese, Sichuan",3.9,https://www.zomato.com/bangalore/kekou-hbr-layout-bangalore/order
Abhiruchi Hotel,₹150 for one,"Andhra, Biryani, North Indian, Chinese",3.6,https://www.zomato.com/bangalore/abhiruchi-hotel-btm-bangalore/order
Tibetan Mother's Kitchen,₹150 for one,"Tibetan, Chinese, Asian, Momos, Sichuan",3.9,https://www.zomato.com/bangalore/tibetan-mothers-kitchen-koramangala-7th-block/order
Itminaan Matka Biryani - Slow Cooked,₹150 for one,"Biryani, North Indian, Mughlai, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-shanti-nagar-bangalore/order
Mainland China,₹150 for one,"Chinese, Asian, Sushi, Momos, Japanese, Thai, Beverages",4.3,https://www.zomato.com/bangalore/mainland-china-church-street/order
No.10 Fort Cochin,₹150 for one,"Kerala, Seafood, Biryani, Chinese, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/no-10-fort-cochin-st-marks-road-bangalore/order
Nadan Pothichoru,₹150 for one,"Kerala, South Indian, Beverages",3.8,https://www.zomato.com/bangalore/nadan-pothichoru-koramangala-7th-block-bangalore/order
Aligarh House- Mughlai Biryani,₹150 for one,"Biryani, Mughlai, Kebab, North Indian, Lucknowi, Fast Food, Beverages, Desserts",4,https://www.zomato.com/bangalore/aligarh-house-mughlai-biryani-cunningham-road-bangalore/order
Rumi,₹300 for one,"Awadhi, Mughlai, North Indian, Kebab, Desserts",4,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/order
Chaitra Restaurant,₹300 for one,"North Indian, Chinese, Andhra, Biryani, Seafood, Fast Food, South Indian",3.8,https://www.zomato.com/bangalore/chaitra-restaurant-kalyan-nagar-bangalore/order
Lassi Shop,₹300 for one,"Beverages, Ice Cream, Desserts, Shake, Juices",4,https://www.zomato.com/bangalore/lassi-shop-banashankari-bangalore/order
Malabar Bay,₹300 for one,"Kerala, Seafood, North Indian, Biryani, Chinese, Beverages, Shake, Desserts",3.5,https://www.zomato.com/bangalore/malabar-bay-btm/order
Punjabi Dhaba,₹300 for one,"North Indian, Chinese, Mughlai",4.2,https://www.zomato.com/bangalore/punjabi-dhaba-majestic/order
Hotel Aasare,₹300 for one,"Chettinad, Kerala, Seafood",4.2,https://www.zomato.com/bangalore/hotel-aasare-yeshwantpur-bangalore/order
Shiv Sagar,₹300 for one,"South Indian, North Indian, Oriental, Street Food, Desserts, Beverages, Shake",3.6,https://www.zomato.com/bangalore/shiv-sagar-1-banaswadi-bangalore/order
New Punjabi Hotel,₹300 for one,"North Indian, Chinese",3.6,https://www.zomato.com/bangalore/new-punjabi-hotel-btm/order
BigBites,₹300 for one,"Fast Food, Momos, Street Food",4,https://www.zomato.com/bangalore/bigbites-seshadripuram-bangalore/order
Kolkata Famous Kati Roll,₹300 for one,Rolls,4.1,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-basaveshwara-nagar-bangalore/order
Bangarpete Chats,₹300 for one,Street Food,3.6,https://www.zomato.com/bangalore/bangarpete-chats-basaveshwara-nagar-bangalore/order
Boba Tree,₹300 for one,"Cafe, Beverages, Bubble Tea, Pizza, Burger, Fast Food, Desserts",3.7,https://www.zomato.com/bangalore/boba-tree-1-indiranagar-bangalore/order
Nagarjuna Chimney,₹300 for one,"Andhra, Biryani, North Indian, Beverages",4.3,https://www.zomato.com/bangalore/nagarjuna-chimney-jayanagar/order
Akram Hotel,₹300 for one,"South Indian, Biryani, Mughlai",3.3,https://www.zomato.com/bangalore/akram-hotel-kumaraswamy-layout-bangalore/order
Vinny's,₹300 for one,"Cafe, Italian, Continental, Pizza, Beverages, Desserts",3.8,https://www.zomato.com/bangalore/vinnys-banashankari/order
Click & Orders,₹300 for one,"North Indian, Chinese, Fast Food",3.8,https://www.zomato.com/bangalore/click-orders-koramangala-2nd-block-bangalore/order
Ghee Tadka Khichdi,₹300 for one,North Indian,4,https://www.zomato.com/bangalore/ghee-tadka-khichdi-seshadripuram-bangalore/order
Hotel Sanman,₹300 for one,South Indian,4.3,https://www.zomato.com/bangalore/hotel-sanman-basavanagudi-bangalore/order
Ambur Dum Biryani,₹300 for one,"Biryani, Beverages",3.7,https://www.zomato.com/bangalore/ambur-dum-biryani-indiranagar-bangalore/order
Iyengars Bakery,₹300 for one,"Bakery, Desserts, Mithai, Fast Food",4.1,https://www.zomato.com/bangalore/iyengars-bakery-vijay-nagar-bangalore/order
Royal Treat,₹300 for one,"North Indian, Chinese, Biryani",4.1,https://www.zomato.com/bangalore/royal-treat-koramangala-5th-block/order
Karama Restaurant,₹300 for one,"Arabian, Mughlai, Seafood, North Indian, Kashmiri, Biryani, Desserts",3.9,https://www.zomato.com/bangalore/karama-restaurant-frazer-town/order
Khaomomo,₹300 for one,"Momos, Chinese, Tibetan",4.2,https://www.zomato.com/bangalore/khaomomo-domlur-bangalore/order
Lakeview Milkbar,₹300 for one,"Desserts, Cafe, Fast Food, Sandwich, Burger, Ice Cream, Shake",4.1,https://www.zomato.com/bangalore/lakeview-milkbar-mg-road/order
Rolls & Bowls Company,₹250 for one,"Rolls, North Indian, Chinese, Fast Food, Sichuan",3.6,https://www.zomato.com/bangalore/rolls-bowls-company-hosur-road-bangalore/order
Carols Pastries & Bakers,₹250 for one,"Bakery, Desserts",4,https://www.zomato.com/bangalore/carols-pastries-bakers-vasanth-nagar-bangalore/order
1522 - The Pub,₹250 for one,"Chinese, North Indian, Continental, Finger Food, Seafood, Beverages",4.1,https://www.zomato.com/bangalore/1522-the-pub-residency-road-bangalore/order
Savji's Roll 'N' Biryani,₹250 for one,"North Indian, Chinese, South Indian, Rolls, Biryani, Sandwich, Burger, Fast Food",4,https://www.zomato.com/bangalore/savjis-roll-n-biryani-vijay-nagar/order
Lassi Shop,₹250 for one,"Beverages, Juices, Desserts, Ice Cream",3.7,https://www.zomato.com/bangalore/lassi-shop-2-rt-nagar-bangalore/order
Ande Ka Funda,₹250 for one,"North Indian, Rolls",4.2,https://www.zomato.com/bangalore/ande-ka-funda-1-jp-nagar-bangalore/order
Shrinidhi Military Hotel,₹250 for one,"South Indian, Biryani",3.8,https://www.zomato.com/bangalore/shrinidhi-military-hotel-basavanagudi/order
New Agarwal Bhavan,₹250 for one,"Mithai, Street Food",4.1,https://www.zomato.com/bangalore/new-agarwal-bhavan-sanjay-nagar-bangalore/order
Bangarpet Chats,₹250 for one,Street Food,4.2,https://www.zomato.com/bangalore/bangarpet-chats-btm-bangalore/order
The Bangalore Creamery,₹250 for one,"Ice Cream, Desserts, Beverages, Shake, Waffle",4,https://www.zomato.com/bangalore/the-bangalore-creamery-indiranagar-bangalore/order
7th Heaven,₹250 for one,"Bakery, Desserts",3.7,https://www.zomato.com/bangalore/7th-heaven-basaveshwara-nagar-bangalore/order
NH8,₹250 for one,"North Indian, Beverages",3.9,https://www.zomato.com/bangalore/nh8-indiranagar/order
Burnout Cafe,₹200 for one,"Cafe, Beverages, Continental, Italian, Chinese, Fast Food, Asian, Desserts",3.3,https://www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order
Tenzin Kitchen,₹200 for one,"Tibetan, Chinese, Sichuan",4.1,https://www.zomato.com/bangalore/tenzin-kitchen-koramangala-7th-block/order
Green Pepper,₹200 for one,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese, Sichuan",4,https://www.zomato.com/bangalore/green-pepper-jeevan-bhima-nagar/order
Thalassery Cafe,₹200 for one,"Fast Food, Street Food",3.6,https://www.zomato.com/bangalore/thalassery-cafe-1-kammanahalli-bangalore/order
Roti Sabji.Com,₹200 for one,"North Indian, Beverages, Rajasthani, Shake",3.5,https://www.zomato.com/bangalore/roti-sabji-com-1-btm-bangalore/order
The Tea Brewery,₹200 for one,"Tea, Fast Food, Beverages",4.3,https://www.zomato.com/bangalore/the-tea-brewery-2-koramangala-1st-block-bangalore/order
Eliza Momos,₹200 for one,"Chinese, Momos, Sichuan",3.9,https://www.zomato.com/bangalore/eliza-momos-hbr-layout-bangalore/order
SGS Non Veg - Gundu Pulav,₹200 for one,South Indian,3.9,https://www.zomato.com/bangalore/sgs-non-veg-gundu-pulav-jayanagar-bangalore/order
Mad On Momos,₹200 for one,Momos,4.1,https://www.zomato.com/bangalore/mad-on-momos-banashankari-bangalore/order
Kunafa World,₹200 for one,Desserts,4.5,https://www.zomato.com/bangalore/kunafa-world-sanjay-nagar-bangalore/order
Samovar,₹200 for one,"Kerala, South Indian, Chinese",3.9,https://www.zomato.com/bangalore/samovar-kammanahalli/order
Richie Rich,₹200 for one,"Desserts, Beverages, Fast Food, Ice Cream, Shake",4.2,https://www.zomato.com/bangalore/richie-rich-race-course-road-bangalore/order
Wat-a-Burger! - India ka Burger,₹200 for one,"Burger, Shake",3.6,https://www.zomato.com/bangalore/wat-a-burger-india-ka-burger-koramangala-5th-block-bangalore/order
Cafe Azzure,₹200 for one,"Cafe, Continental, Fast Food, Italian, Mexican, Beverages, Desserts",4,https://www.zomato.com/bangalore/cafe-azzure-mg-road/order
Dil Punjabi,₹200 for one,North Indian,3.5,https://www.zomato.com/bangalore/dil-punjabi-btm-bangalore/order
Gullu's Chat,₹200 for one,"Fast Food, Street Food, Sandwich, Pizza, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/gullus-chat-seshadripuram/order
Chulha Chauki Da Dhaba,₹200 for one,"North Indian, Chinese, Kebab, Mughlai, Biryani, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-jp-nagar/order
Simpli Namdhari's,₹200 for one,"Asian, Fast Food, Chinese, North Indian, Beverages, Salad",3.1,https://www.zomato.com/bangalore/simpli-namdharis-1-brigade-road-bangalore/order
Aramane Donne Biriyani,₹200 for one,"Biryani, North Indian, South Indian, Andhra, Seafood, Chinese",4.1,https://www.zomato.com/bangalore/aramane-donne-biriyani-koramangala-8th-block-bangalore/order
Thottathil Food House,₹200 for one,"Kerala, South Indian, Biryani, Shake, Juices, Beverages",3.7,https://www.zomato.com/bangalore/thottathil-food-house-btm-bangalore/order
Giani Ice Creams,₹200 for one,"Ice Cream, Desserts, Shake, Beverages",3.9,https://www.zomato.com/bangalore/giani-ice-creams-koramangala-5th-block-bangalore/order
Oh My Shawarma,₹200 for one,Lebanese,4,https://www.zomato.com/bangalore/oh-my-shawarma-koramangala-6th-block-bangalore/order
Karavali Family Restaurant,₹200 for one,"Mangalorean, Biryani, Chinese, South Indian, Mughlai, Seafood, North Indian",4,https://www.zomato.com/bangalore/karavali-family-restaurant-brigade-road-bangalore/order
Taj Hotel,₹200 for one,"Chinese, South Indian, North Indian, Mughlai",4,https://www.zomato.com/bangalore/taj-hotel-shivajinagar/order
Sheesh Kebab,₹250 for one,"Kebab, Iranian, Mughlai, Biryani, Rolls, Desserts",3.9,https://www.zomato.com/bangalore/sheesh-kebab-frazer-town-bangalore/order
Church Street Social,₹250 for one,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Kebab",4,https://www.zomato.com/ChurchStreetSocial/order
No Sugar Please!,₹250 for one,"Beverages, Juices, Healthy Food",4.4,https://www.zomato.com/bangalore/no-sugar-please-hosur-road-bangalore/order
Art of Delight,₹250 for one,"Ice Cream, Desserts, Waffle, Beverages",4.3,https://www.zomato.com/bangalore/art-of-delight-residency-road/order
The Sip Shop,₹250 for one,"Fast Food, Ice Cream, Desserts, Beverages, Shake",3.8,https://www.zomato.com/bangalore/the-sip-shop-city-market-bangalore/order
Say Cheese Cake,₹250 for one,"Bakery, Desserts, Shake",4.1,https://www.zomato.com/bangalore/say-cheese-cake-koramangala-6th-block-bangalore/order
Karnataka State Co-Operative Fisheries Federation Mysore,₹250 for one,Seafood,4.1,https://www.zomato.com/bangalore/karnataka-state-co-operative-fisheries-federation-mysore-jayanagar-bangalore/order
Mizo Kitchen,₹250 for one,"North Eastern, Chinese",4.1,https://www.zomato.com/bangalore/mizo-kitchen-koramangala-5th-block-bangalore/order
The Chaat Cult,₹250 for one,"Street Food, North Indian, Desserts",3.3,https://www.zomato.com/bangalore/the-chaat-cult-basavanagudi-bangalore/order
Prezzed Juicery,₹250 for one,"Healthy Food, Juices",4.5,https://www.zomato.com/bangalore/prezzed-juicery-airport-road-bangalore/order
Hotel Navayuga,₹250 for one,"Andhra, Biryani",4.3,https://www.zomato.com/bangalore/hotel-navayuga-majestic/order
OOttupura,₹250 for one,"Kerala, South Indian, Seafood, Chinese",4.2,https://www.zomato.com/bangalore/oottupura-btm-bangalore/order
VFC Food Palace,₹100 for one,"North Indian, Chinese, Lebanese, Biryani, Fast Food, Sichuan",4.1,https://www.zomato.com/bangalore/vfc-food-palace-rt-nagar-bangalore/order
The Pastry House,₹100 for one,Bakery,4.1,https://www.zomato.com/bangalore/the-pastry-house-wilson-garden-bangalore/order
Mane Holige,₹100 for one,Mithai,4.6,https://www.zomato.com/bangalore/mane-holige-1-koramangala-6th-block-bangalore/order
Odia Khaiba,₹100 for one,"Odia, North Indian, Chinese, Seafood, Sichuan",3.8,https://www.zomato.com/bangalore/odia-khaiba-airport-road-bangalore/order
Sabari Juice Junction,₹100 for one,"Beverages, Sandwich, Juices, Shake",4.1,https://www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order
Awesome Foods,₹100 for one,"Biryani, North Indian",4,https://www.zomato.com/bangalore/awesome-foods-btm-bangalore/order
The Baklava Company,₹100 for one,"Mithai, Desserts",4,https://www.zomato.com/bangalore/the-baklava-company-mg-road-bangalore/order
Ashirvaad Grand,₹100 for one,"South Indian, Beverages",4.1,https://www.zomato.com/bangalore/ashirvaad-grand-btm/order
