Name,Price_For_One,Cuisines,Rating,Urls
Rolls On Wheels,₹150 for one,"Rolls, Fast Food, Chinese",4.2,https://www.zomato.com/bangalore/rolls-on-wheels-cunningham-road/order
Beijing Bites,₹150 for one,"Chinese, Asian, Thai, Seafood, Malaysian",4.1,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order
Kwalitywall's Frozen Dessert And Ice Cream Shop,₹150 for one,"Ice Cream, Desserts",4.2,https://www.zomato.com/bangalore/kwalitywalls-frozen-dessert-and-ice-cream-shop-wilson-garden-bangalore/order
Natural Ice Cream,₹150 for one,"Ice Cream, Desserts, Shake",4.6,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order
California Burrito,₹150 for one,"Mexican, Fast Food, Beverages",4.1,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order
Falahaar & Kota Kachori,₹150 for one,"North Indian, Rajasthani, Fast Food, Mithai, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order
Behrouz Biryani,₹150 for one,"Biryani, Kebab, Hyderabadi, Lucknowi",4.2,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order
Meat And Eat,₹150 for one,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts",4,https://www.zomato.com/bangalore/meat-and-eat-domlur/order
Paakashala,₹150 for one,"South Indian, Street Food, Chinese, Fast Food, Ice Cream, Beverages",4.2,https://www.zomato.com/bangalore/paakashala-mg-road-bangalore/order
The Belgian Waffle Co.,₹150 for one,"Waffle, Pancake, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/the-belgian-waffle-co-seshadripuram-bangalore/order
Asha Sweet Center,₹150 for one,Mithai,4.3,https://www.zomato.com/bangalore/asha-sweet-center-1-vasanth-nagar-bangalore/order
Andhra Gunpowder,₹300 for one,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",4.4,https://www.zomato.com/bangalore/andhra-gunpowder-seshadripuram-bangalore/order
Ambur Star Briyani Since 1890,₹300 for one,"Biryani, Chettinad, Chinese, North Indian",4.3,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore/order
